epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.865,1.88625,3.29916,1.98605,0.00462,0.66552,0.12145,0.04427,2.25353,4.03065,2.34919,0.000455623,0.000455623,0.000455623
2,268.581,1.84128,2.70078,1.92478,0.55895,0.10078,0.14567,0.04707,2.26475,3.8506,2.43427,0.000885825,0.000885825,0.000885825
3,370.78,1.87506,2.60424,1.93295,0.09562,0.15533,0.05987,0.01879,2.46061,3.65949,2.79984,0.00126887,0.00126887,0.00126887
4,449.411,1.90948,2.51575,1.94254,0.17475,0.17653,0.10414,0.03274,2.33682,3.326,2.61084,0.00121679,0.00121679,0.00121679
5,528.159,1.90515,2.46348,1.94115,0.24054,0.35125,0.22717,0.08355,2.38652,3.55505,2.61592,0.00114606,0.00114606,0.00114606
6,606.706,1.88396,2.379,1.90868,0.63422,0.1759,0.15621,0.04993,2.48582,3.42372,2.69414,0.00107532,0.00107532,0.00107532
7,685.345,1.92555,2.24869,1.88411,0.23895,0.26878,0.17214,0.05355,2.42101,2.88753,2.54486,0.00100459,0.00100459,0.00100459
8,763.893,1.8358,2.20038,1.86864,0.38653,0.38194,0.34796,0.12489,2.12853,2.68965,2.28547,0.000933851,0.000933851,0.000933851
9,842.603,1.77898,2.11235,1.83429,0.25891,0.2779,0.22707,0.07488,2.23388,2.80685,2.3426,0.000863116,0.000863116,0.000863116
10,921.256,1.75966,1.97476,1.78493,0.43099,0.33084,0.3207,0.1126,2.17638,2.49087,2.19399,0.00079238,0.00079238,0.00079238
11,998.142,1.84554,2.21617,1.98826,0.43809,0.3231,0.33699,0.14081,2.11175,2.86247,2.28789,0.000721645,0.000721645,0.000721645
12,1075.58,1.8009,2.1303,1.98641,0.48918,0.40814,0.41339,0.15102,2.12595,2.57217,2.32101,0.000650909,0.000650909,0.000650909
13,1152.56,1.81707,2.08021,1.93123,0.41451,0.44535,0.40244,0.14671,2.12458,2.58168,2.20952,0.000580174,0.000580174,0.000580174
14,1229.36,1.73181,2.00989,1.90246,0.50715,0.45479,0.45488,0.15303,2.15804,2.4526,2.28406,0.000509438,0.000509438,0.000509438
15,3172.03,1.72853,1.89437,1.90345,0.69103,0.39242,0.49001,0.18297,2.08811,2.39059,2.27247,0.000438703,0.000438703,0.000438703
16,3336.19,1.70316,1.80479,1.83169,0.56171,0.4433,0.42767,0.17558,2.00226,2.32321,2.16704,0.000367967,0.000367967,0.000367967
17,3547.25,1.65893,1.77469,1.81906,0.68094,0.45092,0.49468,0.17986,2.0688,2.19675,2.21947,0.000297232,0.000297232,0.000297232
18,3769.85,1.64039,1.71855,1.78549,0.58289,0.54435,0.52321,0.21019,2.00294,2.1467,2.10413,0.000226497,0.000226497,0.000226497
19,3990.47,1.61757,1.69446,1.77425,0.58957,0.48978,0.51584,0.21126,2.00866,2.13223,2.09858,0.000155761,0.000155761,0.000155761
20,4214.4,1.6212,1.62779,1.74229,0.56933,0.50867,0.52612,0.21225,2.00348,2.13138,2.09169,8.50255e-05,8.50255e-05,8.50255e-05
